rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Web,GOYBURU MARTIN,WWW.BALLETINDANCE.COM,Capital Federal,CAPITAL FEDERAL,121520.00,,,121520.00
Radio FM,SCOZZINA IGNACIO,FM 90.9 POWER,Santa Fe,GOBERNADOR CRESPO,121511.84,,29672.84,91839.00
Web,COOP.UNIDAD ECONOMIA SOLIDARIA,WWW.AUTOGESTIONREVISTA.COM.AR,Capital Federal,CAPITAL FEDERAL,121403.33,,,121403.33
Web,FERNANDEZ SILVIO DAMIAN,WWW.DIARIOCOLONIAELISA.AR,Entre Rios,COLONIA ELISA,121400.00,,,121400.00
Redes,MEDIABIT S.A.,INSTAGRAM,Varias,Varias,121000.00,,,121000.00
Web,CICCODICOLA JORGE EDUARDO,www.rugbychampagneweb.com.ar,Capital Federal,CAPITAL FEDERAL,121000.00,,121000.00,
Web,COMARIN COMUNIC. Y MARKET. SRL,WWW.RADIOZONICA.COM.AR,Capital Federal,CAPITAL FEDERAL,121000.00,,24200.00,96800.00
Web,EL ARBOL DIGITAL S.R.L.,WWW.EFECTOMARIPOSA.COM.AR,Capital Federal,CAPITAL FEDERAL,121000.00,,,121000.00
Web,EL DIARIO DE MADRYN S.A.,WWW.CHUBUTHOY.COM,Chubut,Varias,121000.00,,24200.00,96800.00
Web,EL DIARIO DE MADRYN S.A.,WWW.ELDIARIOWEB.COM,Chubut,Varias,121000.00,,24200.00,96800.00
Web,EUSEBIO FACUNDO NAHUEL,WWW.BUENOSAIRESNOTICIAS.COM.AR,Buenos Aires,BUENOS AIRES,120999.99,,,120999.99
Web,LESCANO SEBASTIAN ADRIAN,WWW.DEVOTOHOY.COM.AR,Buenos Aires,BUENOS AIRES,120999.99,,,120999.99
Web,LESCANO SEBASTIAN ADRIAN,WWW.MEDIOSAGRUPADOS.COM.AR,Capital Federal,CAPITAL FEDERAL,120999.99,,,120999.99
Web,MANGIAROTTI PABLO MARTIN,WWW.INFODIARIO.COM.AR,Capital Federal,CAPITAL FEDERAL,120999.99,,,120999.99
Web,VEGA GUSTAVO FABIAN,www.infogoya.com,Corrientes,GOYA,120840.00,,67453.33,53386.67
Radio FM,CARLOS SUAREZ.COM S.R.L.,FM 107.7 RADIO ESTUDIO,Buenos Aires,CAMPANA,120743.60,,,120743.60
Radio FM,SRT SERV R Y TV UNIV N CDBA SA,FM 102.3 NUESTRA RADIO,Cordoba,CORDOBA,120706.58,120706.58,,
Radio FM,CARLOS SUAREZ.COM S.R.L.,FM 96.3 OMEGA,Buenos Aires,ZARATE,120697.50,,,120697.50
Radio FM,COOP. DE TRABAJO MESTIZA PROD.,FM 92.1 RADIO MESTIZA ROCK,Cordoba,RIO TERCERO,120510.00,,44460.00,76050.00
TV Cable,AGUILAR TATIANA ALEJANDRA,CANAL 2 - WALLKINTUN,Rio Negro,BARILOCHE,120150.00,,25650.00,94500.00
Grafica,BUSSIO MARINA INES,HORIZONTE,Capital Federal,CAPITAL FEDERAL,120000.00,,40000.00,80000.00
Grafica,BUSSIO MARINA INES,REVISTA CONOCIENDO,Capital Federal,CAPITAL FEDERAL,120000.00,,40000.00,80000.00
Grafica,DIPIERRI PABLO MARTIN,REVISTA KAMCHATKA,Capital Federal,CAPITAL FEDERAL,120000.00,,,120000.00
Grafica,HERNANDO VICTORY GABRIELA MAR,REVISTA ESTILO,Capital Federal,CAPITAL FEDERAL,120000.00,,40000.00,80000.00
Grafica,MESTRE NORA BEATRIZ,DIARIO LINEA OESTE,Capital Federal,CAPITAL FEDERAL,120000.00,,40000.00,80000.00
Grafica,VICTORY MARTA YOLANDA,PERIODICO SUCESOS,Capital Federal,CAPITAL FEDERAL,120000.00,,40000.00,80000.00
Web,ABADIE MARCELO OSVALDO,WWW.RADIOVOZNOTICIAS.COM,Misiones,PUERTO IGUAZU,120000.00,,,120000.00
Web,DOBRY HERNAN,WWW.DESARROLLOENERGETICO.COM.AR,Capital Federal,CAPITAL FEDERAL,120000.00,,,120000.00
Web,DOBRY MARIO HERNAN,WWW.DESARROLLOENERGETICO.COM.AR,Capital Federal,CAPITAL FEDERAL,120000.00,,,120000.00
Web,GIMENO GERARDO MARIANO,AGENCIAANCLA.COM.AR,Buenos Aires,TEMPERLEY,120000.00,,,120000.00
Web,LESCANO PABLO DAMIAN,WWW.AGRONOMIAWEB.COM.AR,Capital Federal,CAPITAL FEDERAL,120000.00,,,120000.00
Web,MALDACENO MAXIMILIANO HERNAN,www.elpanoramico.com.ar,Santa Fe,SANTA FE,120000.00,,60000.00,60000.00
Web,ORTIZ ALMONACID JUAN LUCIANO,PRESOSPVERDAD.BLOGSPOT.COM,Capital Federal,CAPITAL FEDERAL,120000.00,,50000.00,70000.00
Web,SUAREZ ANDREA SOLEDAD FERNANDA,WWW.LAVOZDEJUJUY.COM,Jujuy,SAN SALVADOR DE JUJUY,120000.00,,40000.00,80000.00
Web,ZAPATA MARIA NOELIA,WWW.NOTICIASVECINALES.COM.AR,Capital Federal,CAPITAL FEDERAL,120000.00,,,120000.00
Radio FM,3 MEDIOS GROUP S.R.L.,FM 93.5 RADIO  DEL PLATA,Santa Fe,ROSARIO,119974.00,,35678.00,84296.00
Radio FM,3 MEDIOS GROUP S.R.L.,FM 96.1 POP,Santa Fe,ROSARIO,119974.00,,35678.00,84296.00
Radio FM,FERRER JOSE ALEJANDRO,FM 101.5 SPACIO,Salta,SALTA,119700.00,,69300.00,50400.00
Radio FM,MEDINA EDUARDO HORACIO,FM 91.5 RADIO CRISTAL,Chaco,MACHAGAY,119550.00,,40590.00,78960.00
Web,FUND. PADRE ERNESTO MARTEARENA,WWW.SALTARADIONOX.COM,Salta,SALTA,119500.00,,40000.00,79500.00
Web,FOJA CERO PRODUCCIONES S.R.L.,WWW.ECONOMIASOS.COM,Capital Federal,CAPITAL FEDERAL,119340.00,,59670.00,59670.00
TV Cable,SUAREZ DANIEL OSVALDO,CANAL 17.2 TELEVISION SINDICAL,Capital Federal,CAPITAL FEDERAL,119250.00,,42750.00,76500.00
Radio FM,MUNDO VILLA ASOCIACION CIVIL,FM 100.5 RADIO BRAZOS ABIERTOS VOZ DE CAACUPE,Capital Federal,CAPITAL FEDERAL,119040.00,,41040.00,78000.00
Radio FM,MUNDO VILLA ASOCIACION CIVIL,FM 100.9 RADIO LA MILAGROSA,Capital Federal,CAPITAL FEDERAL,119040.00,,41040.00,78000.00
Radio FM,MUNDO VILLA ASOCIACION CIVIL,FM 101.3 LA VOZ LATINA,Capital Federal,CAPITAL FEDERAL,119040.00,,41040.00,78000.00
Radio FM,MUNDO VILLA ASOCIACION CIVIL,FM 106.5 RADIO FM MUNDO SUR,Capital Federal,CAPITAL FEDERAL,119040.00,,41040.00,78000.00
Radio FM,MUNDO VILLA ASOCIACION CIVIL,FM 92.9 RADIO FAVORITA,Capital Federal,CAPITAL FEDERAL,119040.00,,41040.00,78000.00
Radio FM,FRANCES OSVALDO GUILLERMO,FM 90.5 RADIO ETER,Buenos Aires,MAR DEL PLATA,119028.00,,39564.00,79464.00
Web,CRASCI JUAN ALBERTO,WWW.ARTEZETA.COM.AR,Buenos Aires,CAPITAL FEDERAL,119000.01,,,119000.01
Web,DE DOMINICIS GABRIEL,WWW.LAPRIMERAPIEDRA.COM.AR,Buenos Aires,OLIVOS,118813.34,,,118813.34
Web,LOZANO PABLO MARCELO,WWW.TRIBUNAHACKER.COM.AR,Mendoza,VILLA NUEVA,118633.33,,,118633.33
Web,MOSCHETTONI SILVIO FABRICIO,WWW.IMPULSOBAIRES.COM.AR,Capital Federal,CAPITAL FEDERAL,118533.34,,50866.67,67666.67
TV Cable,LANDRO SCHWARZ MIGUEL AUGUSTO,CANAL 10 LIBRES TV,Mendoza,SAN RAFAEL,118380.00,,210.00,118170.00
Web,LUNA MAXIMILIANO HERNAN,WWW.MUSICACLASICA.COM.AR,Capital Federal,CAPITAL FEDERAL,118333.33,,,118333.33
Web,MARGULIS ALEXANDER MARCELO,WWW.AYESHA.COM.AR,Capital Federal,CAPITAL FEDERAL,118333.33,,,118333.33
Web,TAMBURRANO RICARDO GABRIEL,WWW.REVISTALLEGAS.COM.AR,Capital Federal,CAPITAL FEDERAL,118333.33,,,118333.33
Radio FM,ASOC.CIVIL F.A.R.C.O.,FM 89.3 RADIO ASHPAYPA CALLUN,Santiago del Estero,HOYON ATAMISQUIE,118140.00,,40920.00,77220.00
Radio FM,SORDA ALEXIS GERARDO,FM 92.1 RADIO MESTIZA ROCK,Cordoba,RIO TERCERO,118070.00,,47770.00,70300.00
Web,MAISON BERNARDO,WWW.LACANCIONDELPAIS.COM.AR,Santa Fe,ROSARIO,118000.00,,,118000.00
Web,NODO TAU ASOCIACION CIVIL SFL,WWW.ENREDANDO.ORG.AR,Capital Federal,CAPITAL FEDERAL,118000.00,,,118000.00
Web,SERRENTINO CLAUDIO ALFREDO,WWW.LABOCINA.INFO,Capital Federal,CAPITAL FEDERAL,118000.00,,,118000.00
Web,SMITH GRACIELA MARIA,WWW.REVISTAMAGENTA.COM,Capital Federal,CAPITAL FEDERAL,118000.00,,,118000.00
Web,COOP.DE TRABAJO P/L COM.SOCIAL,WWW.COMUNICACIONSOCIAL.ORG.AR,Capital Federal,CAPITAL FEDERAL,117780.00,,,117780.00
Grafica,IRIBARNE H.R. E IBALDI C.G. SH,SEMANARIO NUEVA TRIBUNA,Buenos Aires,SUIPACHA,117748.80,,39249.60,78499.20
Web,LARRALDE ARIEL JOSE,WWW.MIRAZARATE.COM.AR,Buenos Aires,ZARATE,117500.00,,,117500.00
Web,PECORA MARIA RENEE,WWW.PERIODICOVAS.COM,Capital Federal,CAPITAL FEDERAL,117343.33,,,117343.33
Radio FM,ASOC.CIVIL F.A.R.C.O.,FM 107.7 RADIO CENTRAL FERROVIARIA,Cordoba,CRUZ DEL EJE,117178.00,,42066.00,75112.00
Grafica,AZNAREZ CARLOS ALBERTO,DIARIO RESUMEN LATINOAMERICANO,Capital Federal,CAPITAL FEDERAL,117000.00,,39000.00,78000.00
Web,CASTELLANOS SANTIAGO,WWW.ROCKSALTA.COM,Salta,SALTA,117000.00,,,117000.00
Radio FM,ASOC.CIVIL F.A.R.C.O.,FM 107.3 RADIO EL AGUARIBAY,Mendoza,GODOY CRUZ,116861.50,,44374.50,72487.00
Radio FM,REALE DALLA TORRE CONSULT. SA,FM 106.5 RADIO LUJAN,Mendoza,LUJAN DE CUYO,116698.11,,12531.34,104166.77
Web,CASABI AR S.A.,WWW.BEO.MEDIA,Buenos Aires,LA PLATA,116160.00,,46464.00,69696.00
Web,EURALIA ARGENTINA S.A.,WWW.LANUEVARADIOSUAREZ.COM.AR,Buenos Aires,CORONEL SUAREZ,116160.00,,,116160.00
Web,VISIONARTE S.R.L.,WWW.ELECODESUNCHALES.COM.AR,Santa Fe,SUNCHALES,116160.00,,,116160.00
Web,VISIONARTE S.R.L.,WWW.GNRNOTICIAS.COM,Rio Negro,GENERAL ROCA,116160.00,,,116160.00
Web,VISIONARTE S.R.L.,WWW.LANUEVAREPUBLICA.COM.AR,Capital Federal,CAPITAL FEDERAL,116160.00,,,116160.00
Web,VISIONARTE S.R.L.,WWW.VDMNOTICIAS.COM,Rio Negro,VIEDMA,116160.00,,,116160.00
Web,BASCOY RAUL HORACIO,RADIOPARQUEPATRICIOS.COM.AR,Capital Federal,CAPITAL FEDERAL,116100.00,,,116100.00
Web,ANIMALS PRODUCCIONES SRL,WWW.LAREALIDADDELAPLATA.COM.AR,Buenos Aires,LA PLATA,116025.00,,,116025.00
